,DATA,NOM ESTACIO,hora,NO2,SO2
4831,2023-01-01,Terrassa,12h,28.0,1.0
4832,2023-01-01,Terrassa,13h,21.0,1.0
4833,2023-01-01,Terrassa,14h,29.0,1.0
4834,2023-01-01,Terrassa,15h,30.0,1.0
4835,2023-01-01,Terrassa,16h,36.0,1.0
4836,2023-01-01,Terrassa,17h,40.0,1.0
4837,2023-01-01,Terrassa,18h,88.0,1.0
4838,2023-01-01,Terrassa,19h,91.0,2.0
4839,2023-01-01,Terrassa,20h,67.0,1.0
4840,2023-01-01,Terrassa,21h,93.0,2.0
4841,2023-01-01,Terrassa,22h,80.0,1.0
4842,2023-01-01,Terrassa,23h,64.0,1.0
4843,2023-01-01,Terrassa,24h,48.0,1.0
4868,2024-01-01,Montcada i Reixac,01h,44.0,1.0
4869,2024-01-01,Montcada i Reixac,02h,41.0,1.0
4870,2024-01-01,Montcada i Reixac,03h,42.0,1.0
4871,2024-01-01,Montcada i Reixac,04h,42.0,1.0
4872,2024-01-01,Montcada i Reixac,05h,39.0,1.0
4873,2024-01-01,Montcada i Reixac,06h,34.0,1.0
4874,2024-01-01,Montcada i Reixac,07h,33.0,1.0
4875,2024-01-01,Montcada i Reixac,08h,32.0,1.0
4876,2024-01-01,Montcada i Reixac,09h,32.0,1.0
4877,2024-01-01,Montcada i Reixac,10h,30.0,1.0
4878,2024-01-01,Montcada i Reixac,11h,35.0,1.0
4879,2024-01-01,Montcada i Reixac,12h,37.0,1.0
4880,2024-01-01,Montcada i Reixac,13h,32.0,1.0
4881,2024-01-01,Montcada i Reixac,14h,17.0,1.0
4882,2024-01-01,Montcada i Reixac,15h,21.0,1.0
4883,2024-01-01,Montcada i Reixac,16h,21.0,1.0
4884,2024-01-01,Montcada i Reixac,17h,16.0,1.0
4885,2024-01-01,Montcada i Reixac,18h,27.0,1.0
4886,2024-01-01,Montcada i Reixac,19h,33.0,1.0
4887,2024-01-01,Montcada i Reixac,20h,40.0,1.0
4888,2024-01-01,Montcada i Reixac,21h,40.0,1.0
