Codi Municipi Ine,Nom_municipi,Comarca,Any,Densitat població,Densitat població urbana,Evolució població,Sòl urbà ordenat / habitant,Sòl urbà ordenat d’activitat econòmica / habitant,Sòl urbà ordenat residencial / habitant,Zona verda urbana / habitant,Sistema equipaments urbans / habitant,Tipologia teixits urbans residencials,Regeneració urbana,Ocupació mitjana habitatges,% sòl artificialitzat,% sòl residencial o d’activitat econòmica en sòl urbanitzable delimitat,Ús dominant sòl urbanitzable delimitat,% sòl residencial o d’activitat econòmica en sòl urbà no ordenat,Ús dominant sòl urbà no ordenat,Densitat habitatges sòl urbanitzable,Potencial habitatges sectors ja urbanitzats,Potencial habitatges previstos sòl urbà no ordenat,Potencial habitatges previstos sòl urbanitzable delimitat,Increment habitatges sòl urbà no ordenat/ existents,Increment habitatges sòl urbanitzable delimitat/ existents,Increment habitatges sòl urbà no ordenat/ 100 habitants,Increment habitatges sòl urbanitzable delimitat/ 100 hab,Potencial sostre sòl urbanitzable delimitat,Potencial sostre sòl urbà no ordenat,Potencial sostre sectors ja urbanitzats,Creixement urbà,Nous habitatges per any,Densitat habitatges sòl urbà no ordenat,Potencial de creixement urbà,Edificacions espais oberts,Sol·licituds en sòl no urbanitzable aprovades,Sol·licituds en sòl no urbanitzable denegades,Antiguitat figures planejament municipal,Figura planejament municipal,Noves figures planejament general per any,Expedients planejament derivat per any,Autoritzacions en domini públic anuals,Densitat xarxa viària / km2,Densitat xarxa viària /  habitant,Densitat xarxa ferroviària / km2,Densitat xarxa ferroviària / habitant
25071,Cava,Alt Urgell,2018,1.090259531,7.746975963,-11.53846154,1290.826259,0,682.7030952,52.54845146,21.24934471,0,0,0.359375,4.234969705,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.254789326,0,0,5,Pla d'ordenació urbanística municipal,0,0,0,0,0,0,0
25072,Cervera,Segarra,2018,165.0937839,29.05626434,0.3209029545,344.1598645,91.95731792,102.9886444,37.54648339,36.08580684,0.3469000633,6.725005453,1.961064244,11.39238666,91.79309319,AE,100,R,38.50871574,153,1191,296,25.76249189,6.402768765,13.13699537,3.264945952,437981.2526,0,0,11.77238923,12,56.76010479,28.12619939,21.1913251,0,0,3,Pla d'ordenació urbanística municipal,0,0,0,0.977460388,5.939636635,1.245294166,7.567155598
25073,Cervià de les Garrigues,Garrigues,2018,19.03792408,26.69141061,-1.818181818,374.6523609,12.07264407,235.6843682,9.129265465,38.23817148,0.1136708723,0,0.9614243323,1.125951063,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.74260702,0,0,7,Pla d'ordenació urbanística municipal,0,0,0,0.1858294128,9.58353944,0,0
25074,Ciutadilla,Urgell,2018,12.09776444,33.73456416,1.98019802,296.4318719,2.298294036,158.87388,5.935051327,30.79546716,0,13.13053163,1.06185567,1.126890109,0,-,100,R,0,0,27,0,13.91752577,0,13.10679612,0,0,0,0,0,0,33.67358358,0,22.25893517,0,0,4,Normes de planejament urbanístic,0,0,0,0.8577302847,72.30385808,0,0
25075,Clariana de Cardener,Solsonès,2018,3.605145218,34.12761601,1.379310345,293.0178304,133.137207,65.789399,20.34640625,48.90408411,1.349208723,22.76279301,2.070422535,0.8012919628,0,-,100,R,0,0,27,0,38.02816901,0,18.36734694,0,0,0,0,0,0,27.5376472,0,10.0079795,2,0,5,Pla d'ordenació urbanística municipal,0,0,0,0.2576321856,72.44804776,0,0
25076,el Cogul,Garrigues,2018,9.193971834,21.52659311,-0.6172839506,464.5416927,25.70729751,237.0151113,51.14847609,32.7712794,0,0,1.166666667,1.682758758,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.17270645,0,0,6,Pla d'ordenació urbanística municipal,0,0,0,0.1024267134,11.07186878,0,0
25077,Coll de Nargó,Alt Urgell,2018,3.625827124,22.10746927,-1.612903226,452.3358091,3.456401259,163.4311773,22.95835886,50.50232197,0.0658472039,4.801616356,0.9134775374,0.636218629,74.61123343,R,86.05309085,R,34.63625525,0,12,170,1.996672213,28.28618968,2.18579235,30.96539162,4175.373991,0,0,0,0,10.0637647,25.27624027,4.176370064,0,0,8,Pla d'ordenació urbanística municipal,0,0,0,0.2166925562,58.79969112,0,0
25078,Corbins,Segrià,2018,68.11668058,41.79892547,1.417434444,239.2405998,39.92905683,121.3265403,5.992479862,12.30699862,0,0,2.296950241,6.408016275,61.11011235,R,0,-,11.98376938,0,0,477,0,76.56500803,0,33.33333333,99479.65518,0,0,0,2,0,166.3240355,31.22946901,0,0,23,Normes subsidiàries del planejament,0,0,0,0.3032069008,4.514381166,0,0
25079,Cubells,Noguera,2018,9.14009116,11.99257202,-4.021447721,833.8494849,5.85258754,531.4574524,45.02786368,38.49814987,0.1498909414,16.88799628,1.189368771,1.152730653,0,-,56.41329417,R,0,0,59,0,19.6013289,0,16.48044693,0,0,7646.841833,0,0,0,20.74539628,0,16.0964842,0,0,3,Pla d'ordenació urbanística municipal,0,0,0,0.2067600353,21.71152181,0,0
25081,l'Espluga Calba,Garrigues,2018,16.64506552,21.46754665,-1.652892562,465.8194141,39.89438883,237.6338764,32.56241782,49.51733436,0.2140755516,0,0.937007874,1.58249843,70.00985307,R,0,-,29.76326217,0,0,75,0,19.68503937,0,21.00840336,2590.665863,0,0,0,0,0,21.64391235,21.9814501,1,0,5,Pla d'ordenació urbanística municipal,0,0,0,0.4453167447,26.31146972,0,0
25082,Espot,Pallars Sobirà,2018,3.61759347,4.865766201,-3.561643836,2055.174784,0,241.7685964,28.30770333,34.51723322,0,3.033740258,0.7333333333,1.054949475,100,R,100,R,24.33114192,0,106,226,22.08333333,47.08333333,30.11363636,64.20454545,0,0,0,0,1,48.29876706,12.46163583,1.036545633,0,0,21,Normes subsidiàries del planejament,0,0,0,0.1148312312,30.61188403,0,0
25085,Estaràs,Segarra,2018,7.609483941,11.81868487,1.265822785,846.1178306,0,402.8209511,114.5635112,60.45222119,0,11.72177753,1.428571429,5.448029245,100,AE,55,AE,0,0,42.84578149,0,38.25516205,0,26.77861343,0,154616.0329,1110.816529,0,14.91434873,0,33.75000084,170.3784315,12.84548266,0,0,12,Pla d'ordenació urbanística municipal,0,0,0,1.148825096,152.883848,0.6609381954,87.95662188
25086,Esterri d'Àneu,Pallars Sobirà,2018,89.22557135,19.51481376,-1.690507152,512.4312292,6.456315138,284.5013493,54.65544511,60.31231808,0.1104588703,1.547888988,0.6602620087,9.796075452,89.85187892,R,0,-,49.79790195,0,15,1008,1.310043668,88.0349345,1.984126984,133.3333333,13717.00237,0,0,23.05115698,2,25.01463199,57.26562948,7.463784436,0,0,8,Pla d'ordenació urbanística municipal,0,0,0,0.9049414793,9.970722131,0,0
25087,Esterri de Cardós,Pallars Sobirà,2018,4.170429447,17.57857534,2.985074627,568.8743146,0,353.0331741,4.337966325,40.79885703,0.0092305025,0,1.095238095,0.3942288129,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.18104313,0,0,4,Normes de planejament urbanístic,0,0,0,0.0605779631,14.95919335,0,0
25088,Estamariu,Alt Urgell,2018,5.622847952,36.99705175,-4.032258065,270.2918078,0,185.9848884,0,10.41215892,0,0,1.803030303,0.3907609421,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.193033318,0,0,4,Normes de planejament urbanístic,0,0,0,0.1479602229,25.25305435,0,0
25089,Farrera,Pallars Sobirà,2018,1.971918452,19.3640604,0.826446281,516.4206159,0,262.7714932,11.7704075,11.26840163,0.0229393379,0,1.355555556,0.1578628292,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2.071357666,0,0,4,Normes de planejament urbanístic,0,0,0,0,0,0,0
25092,la Floresta,Garrigues,2018,27.41464757,19.26646079,-0.6451612903,519.036688,22.28215552,209.4723233,77.32349657,74.19825029,0.0841725738,31.34745814,0.9685534591,3.738393192,0,-,100,R,0,0,50,0,31.44654088,0,32.46753247,0,0,0,0,0,0,19.95486968,0,26.49819917,0,0,10,Pla d'ordenació urbanística municipal,0,0,0,0.4735006545,17.16038152,5.141476756,186.3349119
25093,Fondarella,Pla d'Urgell,2018,145.7725353,23.36763799,-0.5025125628,427.942268,38.82427354,147.9546902,10.74964468,37.00830192,0.9266770686,4.344070012,2.490566038,18.41238251,57.71162101,R,0,-,23.3164806,72,0,581,0,182.7044025,0,73.35858586,61102.28496,0,0,0,0,0,122.0876467,15.42467764,0,0,22,Normes subsidiàries del planejament,0,0,0,1.539457331,10.50761285,10.02871585,68.45130513
25094,Foradada,Noguera,2018,6.060030916,15.00370176,1.764705882,666.5021847,0,346.7126492,63.44162337,60.51096965,0.7503186764,0,1.108974359,1.453475636,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.83788021,0,0,15,Normes subsidiàries del planejament,0,0,0,0.3555233021,59.70221072,0,0
25096,la Fuliola,Urgell,2018,110.113163,22.29385641,-1.616814875,448.5540687,6.531902614,283.5057797,9.938294064,31.29567766,0.0146069868,1.099885905,1.860856269,7.784468275,61.85402502,AE,100,R,26.57881252,0,15,176,2.293577982,26.91131498,1.23253903,14.46179129,53686.65485,0,0,0,2,24.98263506,31.45374274,16.91672665,1,0,16,Normes subsidiàries del planejament,0,0,0,0.5421280309,4.843769896,0,0
25097,Fulleda,Garrigues,2018,5.142331291,15.67273923,-2.325581395,638.0505571,0,308.5913863,105.2922074,107.3345932,0.17678241,0,0.7706422018,1.223829143,100,R,0,-,30.04007751,43,0,60,0,55.04587156,0,71.42857143,0,0,0,0,0,0,37.26626116,11.19398552,0,0,13,Pla d'ordenació urbanística municipal,0,0,0,0.2557476077,48.57718703,0,0
25098,Gavet de la Conca,Pallars Jussà,2018,3.014379397,21.80206939,-2.142857143,458.6720563,10.29505043,253.6648396,9.41620294,15.81867647,0,0,1.033962264,0.4294588003,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5.188810653,1,0,4,Normes de planejament urbanístic,0,0,0,0.2726197036,88.50175034,0,0
25099,Golmés,Pla d'Urgell,2018,112.1510132,17.67858483,0.6479481641,565.6561369,131.8762405,171.1406931,26.01785959,51.91270948,0.336105264,3.717448543,2.321295143,14.4280825,50.15906844,R,24.02249477,R,46.91471184,0,38,1889.280725,4.732254047,235.2777989,2.038626609,101.3562621,222613.6497,0,0,0,4,40.35730082,73.41549691,29.4240889,1,0,12,Pla d'ordenació urbanística municipal,0,0,0,0.6254839687,5.613295524,3.27832567,29.42075534
